gpu,arm,probe,dtype,size,direction,kind,causal,flops,ms,n_cards
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q4096k4096h8/8d40,fwd_bwd,,True,64424509440.0,4.082103967666626,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q4096k77h8/8d40,fwd,,False,807403520.0,0.08189952373504639,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q4096k77h8/8d40,fwd_bwd,,False,2422210560.0,0.6756693124771118,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q512k512h16/16d32,fwd,,False,4294967296.0,0.1470902817589896,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q512k512h16/16d32,fwd_bwd,,False,12884901888.0,0.6641919910907745,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q512k512h16/16d32,fwd_bwd,,True,6442450944.0,0.4918271780014038,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q512k512h16/2d128,fwd_bwd,,False,12884901888.0,0.6758399804433186,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q512k512h16/2d128,fwd_bwd,,True,6442450944.0,0.4777984142303467,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q512k512h32/2d80,fwd_bwd,,False,8053063680.0,0.5344000160694122,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q512k512h32/4d32,fwd_bwd,,False,12884901888.0,0.696453332901001,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q512k512h32/4d32,fwd_bwd,,True,6442450944.0,0.5186560153961182,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q512k512h32/4d80,fwd,,False,5368709120.0,0.2110464096069336,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q512k512h32/4d80,fwd_bwd,,False,16106127360.0,0.9632426897684733,18
